Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210412,0.833333333,탄천,17.2,6.9,5.4,8.38,0.105,5.6,0,0
20210412,0.833333333,중랑천,16.1,7.3,,,,,0,0
20210412,0.833333333,안양천,16.8,6.9,6,8.53,0.18,5.5,0,0
20210412,0.833333333,선유,15.2,7.3,9.4,3.42,0.063,2.5,0,0
20210412,0.833333333,노량진,14.6,7.3,9,3.025,0.048,2,0,0
20210412,0.791666667,탄천,17.5,6.9,5.6,8.28,0.08,4.4,0,0
20210412,0.791666667,중랑천,16.2,7.3,,,,,0,0
20210412,0.791666667,안양천,16.8,6.9,6.5,7.75,0.18,5.3,0,0
20210412,0.791666667,선유,15.2,7.2,9.7,3.42,0.061,2.5,0,0
20210412,0.791666667,노량진,14.6,7.3,9,3.025,0.048,2.2,0,0
20210412,0.75,탄천,17.7,6.9,5.8,7.86,0.08,4.4,0,0
20210412,0.75,중랑천,16.2,7.3,,,,,0,0
20210412,0.75,안양천,17,6.9,6.4,9.55,0.22,5.5,0,0
20210412,0.75,선유,15.2,7.2,9.3,3.54,0.065,2.5,0,0
20210412,0.75,노량진,14.6,7.3,9.1,3.125,0.05,2.3,0,0
20210412,0.708333333,탄천,17.8,6.9,6,7.68,0.075,4.2,0,0
20210412,0.708333333,중랑천,16.3,7.3,,,,,0,0
20210412,0.708333333,안양천,17.1,6.9,6.3,9.51,0.175,5.4,0,0
20210412,0.708333333,선유,15.2,7.2,9.5,3.36,0.065,2.5,0,0
20210412,0.708333333,노량진,14.6,7.3,9.2,3.05,0.044,2.2,0,0
20210412,0.666666667,탄천,17.7,7,6.2,7.2,0.08,4.1,0,0
20210412,0.666666667,중랑천,16.4,7.3,,,,,0,0
20210412,0.666666667,안양천,17.3,6.9,6.1,4.9,0.22,5.7,0,0
20210412,0.666666667,선유,15.2,7.2,9.4,3.34,0.063,2.5,0,0
20210412,0.666666667,노량진,14.7,7.3,9.3,3.125,0.042,2.3,0,0
20210412,0.625,탄천,17.7,7,6.3,7.42,0.08,4,0,0
20210412,0.625,중랑천,16.3,7.3,,,,,0,0
20210412,0.625,안양천,17.4,7,6.3,10,0.17,5.8,0,0
20210412,0.625,선유,15.2,7.2,9.5,3.36,0.064,2.5,0,0
20210412,0.625,노량진,14.7,7.3,9.2,3.025,0.044,2.3,0,0
20210412,0.583333333,탄천,17.6,7,6.2,7.54,0.08,4.3,0,0
20210412,0.583333333,중랑천,16.4,7.2,,,,,0,0
20210412,0.583333333,안양천,17.5,7,6.1,9.66,0.2,5.4,0,0
20210412,0.583333333,선유,15.3,7.2,9.4,3.36,0.067,2.5,0,0
20210412,0.583333333,노량진,14.8,7.3,9.1,3.025,0.042,2.2,0,0
20210412,0.541666667,탄천,17.3,7,6.2,7.46,0.085,3.6,0,0
20210412,0.541666667,중랑천,16.6,7.2,,,,,0,0
20210412,0.541666667,안양천,17.3,6.9,5.6,10.34,0.185,5.5,0,0
20210412,0.541666667,선유,15.4,7.2,9.4,3.34,0.067,2.4,0,0
20210412,0.541666667,노량진,14.7,7.3,9.1,3.15,0.05,2.2,0,0
20210412,0.5,탄천,16.8,7,6.1,6.88,0.075,3.6,0,0
20210412,0.5,중랑천,16.6,7.2,,,,,0,0
20210412,0.5,안양천,17,6.9,5.2,9.49,0.175,5.6,0,0
20210412,0.5,선유,15.4,7.2,9.3,3.34,0.065,2.5,0,0
20210412,0.5,노량진,14.8,7.3,9,3.175,0.05,2.2,0,0
20210412,0.458333333,탄천,16.5,7,6,6.9,0.065,3.5,0,0
20210412,0.458333333,중랑천,16.6,7.2,,,,5.1,0,0
20210412,0.458333333,안양천,16.6,6.9,4.8,9.6,0.17,5.5,0,0
20210412,0.458333333,선유,15.4,7.2,9.2,3.34,0.066,2.5,0,0
20210412,0.458333333,노량진,14.7,7.3,9,3.175,0.04,2.1,0,0
20210412,0.416666667,탄천,16.5,7,5.8,7.08,0.06,3.6,0,0
20210412,0.416666667,중랑천,16.8,7.2,,,,5.1,0,0
20210412,0.416666667,안양천,16.4,6.9,4.6,9.96,0.175,5.7,0,0
20210412,0.416666667,선유,15.4,7.2,9.3,3.36,0.066,2.4,0,0
20210412,0.416666667,노량진,14.8,7.3,9.1,3.2,0.05,2.3,0,0
20210412,0.375,탄천,16.5,6.9,5.4,7.24,0.06,3.8,0,0
20210412,0.375,중랑천,17,7.2,6,,,5.9,0,0
20210412,0.375,안양천,16.3,6.9,4.5,9.68,0.18,5.5,0,0
20210412,0.375,선유,15.4,7.2,9.1,3.34,0.059,2.2,0,0
20210412,0.375,노량진,14.8,7.3,8.9,3.15,0.05,2.2,0,0
20210412,0.333333333,탄천,16.6,6.9,5.2,7.44,0.08,3.9,0,0
20210412,0.333333333,중랑천,17.2,7.2,5.9,6.6,0.14,5.2,0,0
20210412,0.333333333,안양천,16.3,6.9,4.5,9.71,0.195,5.5,0,0
20210412,0.333333333,선유,15.3,7.2,9,3.3,0.063,2.5,0,0
20210412,0.333333333,노량진,14.8,7.3,9,3.125,0.05,2.2,0,0
20210412,0.291666667,탄천,16.7,6.9,5.1,7.6,0.065,4,0,0
20210412,0.291666667,중랑천,17.5,7.2,5.9,6.6,0.14,5,0,0
20210412,0.291666667,안양천,16.4,6.9,4.6,9.52,0.175,5.8,0,0
20210412,0.291666667,선유,15.4,7.2,9.2,3.38,0.062,2.5,0,0
20210412,0.291666667,노량진,14.8,7.3,9.1,3.075,0.052,2.1,0,0
20210412,0.25,탄천,16.9,6.9,5,8.02,0.065,3.8,0,0
20210412,0.25,중랑천,17.7,7.2,6.1,6.3,0.14,5.4,0,0
20210412,0.25,안양천,16.6,6.9,4.5,10.72,0.19,5.5,0,0
20210412,0.25,선유,15.5,7.2,9.2,3.24,0.061,2.4,0,0
20210412,0.25,노량진,14.9,7.3,9.1,3.15,0.05,2.2,0,0
20210412,0.208333333,탄천,17.1,6.9,5.1,8.3,0.075,4.1,0,0
20210412,0.208333333,중랑천,17.8,7.3,6.2,6.3,0.14,5.6,0,0
